"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize"
"5, 0, 1, 2, 10, 0, 2, 3",1.67623925968073e-06,0.0899978147731028,0.110001392458548,0.334501112692169,50662,0.1,10,5
"5, 0, 2, 2, 10, 0, 3, 3",8.78701970446855e-08,0.0899990294959222,0.334519917070749,0.999996076012466,149340,0.1,10,5
