"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize","n.earlystop"
"3, 0, 1, 3, 6, 0, 2, 4, 9, 0, 3, 5, 12, 0, 4, 6",1.07621265367605e-05,0.0120669318174852,0.27510892230036,0.424163999271024,2181,0.25,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 0, 4, 5, 12, 0, 5, 6",3.31603090816643e-06,0.012048584304443,0.424335600554791,0.597447136132252,2577,0.25,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 0, 4, 5, 12, 0, 6, 6",1.24510211426066e-05,0.0120493384425961,0.597583997749841,0.651362291805376,796,0.25,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 0, 5, 5, 12, 0, 6, 6",2.76262761415914e-05,0.0120454459232449,0.651424129637025,0.749940485740005,1442,0.25,10,3,12
"3, 0, 2, 3, 6, 0, 4, 4, 9, 0, 5, 5, 12, 0, 6, 6",9.68732250791509e-06,0.0120663305325885,0.75006900492033,0.9478212431727,2906,0.25,10,3,12
"3, 0, 3, 3, 6, 0, 4, 4, 9, 0, 5, 5, 12, 0, 6, 6",3.93027282502502e-05,0.0120564384356114,0.947854525435658,0.99999127845629,796,0.25,10,3,12
"3, 0, 1, 3, 6, 0, 2, 4, 9, 0, 3, 5, 12, 1, 4, 6",0.0120743956082356,0.0326339653542386,0.275004993874432,0.424274864943262,3696,0.25,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 0, 4, 5, 12, 1, 5, 6",0.0120714445392154,0.032634994930933,0.424315471766254,0.59747723920961,4357,0.25,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 0, 4, 5, 12, 1, 6, 6",0.0120722113084259,0.0326345424247581,0.597487428633917,0.651371043209613,1353,0.25,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 0, 5, 5, 12, 1, 6, 6",0.0120689158830215,0.0326294806303821,0.651391303838484,0.749643237125105,2548,0.25,10,3,12
"3, 0, 2, 3, 6, 0, 4, 4, 9, 0, 5, 5, 12, 1, 6, 6",0.0120737939740931,0.0326344471970629,0.750044611839123,0.947789197414918,4991,0.25,10,3,12
"3, 0, 3, 3, 6, 0, 4, 4, 9, 0, 5, 5, 12, 1, 6, 6",0.0120919872368956,0.0326090081893206,0.947832209494554,0.999993835111039,1322,0.25,10,3,12
"3, 0, 1, 3, 6, 0, 2, 4, 9, 1, 3, 5, 12, 1, 4, 6",0.0326376254504928,0.101058820351539,0.275002197986229,0.424287768706851,12520,0.25,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 1, 4, 5, 12, 1, 5, 6",0.0326428289222588,0.101066777975887,0.424342109101736,0.597444895370436,14557,0.25,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 1, 4, 5, 12, 1, 6, 6",0.0326526369674072,0.101059964480864,0.597482082901259,0.651387010558402,4550,0.25,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 1, 5, 5, 12, 1, 6, 6",0.0326409345546921,0.10106372236595,0.651399465715609,0.749983791535459,8322,0.25,10,3,12
"3, 0, 2, 3, 6, 0, 4, 4, 9, 1, 5, 5, 12, 1, 6, 6",0.0326376200953902,0.101066794215818,0.750001734393789,0.947819930706537,16372,0.25,10,3,12
"3, 0, 3, 3, 6, 0, 4, 4, 9, 1, 5, 5, 12, 1, 6, 6",0.0326542907045999,0.101044843475384,0.947837383048974,0.999993832491695,4368,0.25,10,3,12
"3, 0, 1, 3, 6, 1, 2, 4, 9, 1, 3, 5, 12, 2, 4, 6",0.101067422450851,0.195990077054938,0.275006491615556,0.424305746489773,17382,0.25,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 1, 4, 5, 12, 2, 5, 6",0.101074741304584,0.196006373272622,0.424310704210215,0.59747131512571,20269,0.25,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 1, 4, 5, 12, 2, 6, 6",0.101126003490477,0.195979015741143,0.597482195009199,0.651387131572113,6413,0.25,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 1, 5, 5, 12, 2, 6, 6",0.101072837623795,0.196001010428344,0.651401039592342,0.749997220914156,11384,0.25,10,3,12
"3, 0, 2, 3, 6, 1, 4, 4, 9, 1, 5, 5, 12, 2, 6, 6",0.10107428827454,0.196003008754752,0.750001720249329,0.947819063179674,22945,0.25,10,3,12
"3, 0, 3, 3, 6, 1, 4, 4, 9, 1, 5, 5, 12, 2, 6, 6",0.101116351441797,0.19598457177657,0.947831568628293,0.999993401172985,6022,0.25,10,3,12
"3, 0, 1, 3, 6, 1, 2, 4, 9, 2, 3, 5, 12, 2, 4, 6",0.196009657987821,0.224998751935766,0.275004255393937,0.424293233357744,5340,0.25,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 2, 4, 5, 12, 2, 5, 6",0.19601074018422,0.224999112473874,0.424315403488677,0.597443942976815,6186,0.25,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 2, 4, 5, 12, 2, 6, 6",0.196024631611563,0.224999272253839,0.597486069194178,0.651382128624325,1968,0.25,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 2, 5, 5, 12, 2, 6, 6",0.196009105189887,0.224997837144533,0.651417651474475,0.749960503642963,3533,0.25,10,3,12
"3, 0, 2, 3, 6, 1, 4, 4, 9, 2, 5, 5, 12, 2, 6, 6",0.19600703020402,0.224996573514928,0.75000512015835,0.947774987122347,7021,0.25,10,3,12
"3, 0, 3, 3, 6, 1, 4, 4, 9, 2, 5, 5, 12, 2, 6, 6",0.196009298788489,0.224956368219049,0.947856780516557,0.999867681547947,1885,0.25,10,3,12
