"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize","n.earlystop"
"3, 0, 2, 3, 6, 0, 3, 5, 9, 0, 4, 6, 12, 0, 5, 7",1.30503284711158e-05,0.00316688310443668,0.385053333904316,0.485417899598247,327,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 0, 4, 6, 12, 0, 6, 7",1.3587759650778e-06,0.00317120960878704,0.485539884850587,0.540685822430163,175,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 0, 5, 6, 12, 0, 6, 7",1.07060039561009e-05,0.0031695663487813,0.541904026862109,0.64932298743279,391,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 4, 5, 9, 0, 5, 6, 12, 0, 7, 7",1.32224368337309e-05,0.00315444110405596,0.650686799155942,0.748754003752113,311,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 4, 5, 9, 0, 6, 6, 12, 0, 7, 7",2.0285480447812e-06,0.00316173435890318,0.749099078538449,0.901760338599156,481,0.35,10,3,12
"3, 0, 3, 3, 6, 0, 5, 5, 9, 0, 6, 6, 12, 0, 7, 7",1.46944033838809e-06,0.00316370276680989,0.902975166638043,0.999974723362062,347,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 0, 4, 6, 12, 1, 5, 7",0.00317544288777432,0.0123096025186754,0.385027445701861,0.485288318293892,930,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 0, 4, 6, 12, 1, 6, 7",0.00317337440928556,0.0123144504005371,0.485687786605943,0.541505072803022,555,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 0, 5, 6, 12, 1, 6, 7",0.00317703709037746,0.0123144019950601,0.541863271633721,0.649993551352938,1025,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 4, 5, 9, 0, 5, 6, 12, 1, 7, 7",0.00317615136793747,0.0122927119408727,0.65007807059817,0.748534854352286,907,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 4, 5, 9, 0, 6, 6, 12, 1, 7, 7",0.00319832955142984,0.0123117728605416,0.74890663487919,0.902155244467389,1435,0.35,10,3,12
"3, 0, 3, 3, 6, 0, 5, 5, 9, 0, 6, 6, 12, 1, 7, 7",0.00317561124756464,0.0122836399069823,0.902240267523132,0.999928068753222,930,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 1, 4, 6, 12, 1, 5, 7",0.0123189518654246,0.0534150966216172,0.385004816301368,0.485390571245351,4211,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 1, 4, 6, 12, 1, 6, 7",0.012331431433019,0.0534096950919261,0.485456442540049,0.541661607742693,2469,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 1, 5, 6, 12, 1, 6, 7",0.0123163655135247,0.0534445561623143,0.541703493480098,0.649954542738279,4608,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 4, 5, 9, 1, 5, 6, 12, 1, 7, 7",0.0123174477915379,0.0534418531157291,0.650048889844958,0.748710603859057,4230,0.35,10,3,12
"3, 0, 2, 3, 6, 0, 4, 5, 9, 1, 6, 6, 12, 1, 7, 7",0.0123159107139169,0.0534416044061066,0.748804913736122,0.902163344481254,6419,0.35,10,3,12
"3, 0, 3, 3, 6, 0, 5, 5, 9, 1, 6, 6, 12, 1, 7, 7",0.0123160614717155,0.0534327609536353,0.902208017596847,0.999815562977891,4158,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 3, 5, 9, 1, 4, 6, 12, 2, 5, 7",0.053448748044025,0.122367604656277,0.385003202261387,0.485417652157518,7014,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 3, 5, 9, 1, 4, 6, 12, 2, 6, 7",0.0534979293124935,0.122364088984412,0.485438402370534,0.541663482541314,4001,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 3, 5, 9, 1, 5, 6, 12, 2, 6, 7",0.0534637444519505,0.12236521942343,0.541674403076803,0.64999975265648,7787,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 4, 5, 9, 1, 5, 6, 12, 2, 7, 7",0.0534505259266704,0.12232992172586,0.650017798122891,0.748764912180411,6937,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 4, 5, 9, 1, 6, 6, 12, 2, 7, 7",0.0534468378204795,0.12236138976789,0.748798562454745,0.902166241732206,10885,0.35,10,3,12
"3, 0, 3, 3, 6, 1, 5, 5, 9, 1, 6, 6, 12, 2, 7, 7",0.0534494181420675,0.12236661943369,0.902183121578745,0.999988699752713,6995,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 3, 5, 9, 2, 4, 6, 12, 2, 5, 7",0.122398063843416,0.165245959540151,0.385010605960394,0.485430274661469,4487,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 3, 5, 9, 2, 4, 6, 12, 2, 6, 7",0.122396087041967,0.165238995018795,0.485454775985124,0.541663870274125,2528,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 3, 5, 9, 2, 5, 6, 12, 2, 6, 7",0.122382527152136,0.165225474896427,0.541696266546088,0.64995735417951,4671,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 4, 5, 9, 2, 5, 6, 12, 2, 7, 7",0.122387401029532,0.165232261849543,0.650001445998566,0.748759278855496,4331,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 4, 5, 9, 2, 6, 6, 12, 2, 7, 7",0.122379798761943,0.165246962120258,0.748780576464913,0.902154625789898,6694,0.35,10,3,12
"3, 0, 3, 3, 6, 1, 5, 5, 9, 2, 6, 6, 12, 2, 7, 7",0.122380711702277,0.165228835980431,0.90219126563252,0.99994837024345,4265,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 3, 5, 9, 2, 4, 6, 12, 3, 5, 7",0.165248355285299,0.314995752800732,0.385000080270691,0.485436889425603,15591,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 3, 5, 9, 2, 4, 6, 12, 3, 6, 7",0.165271417398436,0.314994559532383,0.485443812015085,0.541660884792014,8803,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 3, 5, 9, 2, 5, 6, 12, 3, 6, 7",0.165274150759562,0.314993675032303,0.541672872425105,0.649978880463508,16830,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 4, 5, 9, 2, 5, 6, 12, 3, 7, 7",0.165247652265013,0.31497147818744,0.650009216999499,0.748773902072859,15445,0.35,10,3,12
"3, 0, 2, 3, 6, 1, 4, 5, 9, 2, 6, 6, 12, 3, 7, 7",0.165254738126023,0.314995454463272,0.748780395462398,0.90215818636361,23580,0.35,10,3,12
"3, 0, 3, 3, 6, 1, 5, 5, 9, 2, 6, 6, 12, 3, 7, 7",0.165266675943431,0.314988022022306,0.902173210631695,0.999997426767764,15249,0.35,10,3,12
