"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize","n.earlystop"
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 4, 12, 0, 3, 5",1.42593803261407e-05,0.0173335602228542,0.242064562306558,0.281675078174148,903,0.22,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 4, 12, 0, 4, 5",1.18823388597462e-05,0.017337877324777,0.281727496927452,0.461379581970228,4038,0.22,10,3,12
"3, 0, 2, 2, 6, 0, 3, 3, 9, 0, 4, 4, 12, 0, 5, 5",1.33138089459389e-06,0.0173373827694316,0.461399606781372,0.999892458352078,12530,0.22,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 4, 12, 1, 3, 5",0.0173683987400475,0.0427490451426251,0.242041028286373,0.281601826636248,1328,0.22,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 4, 12, 1, 4, 5",0.017339444125285,0.0427507731410277,0.281750510277849,0.461349733080881,6035,0.22,10,3,12
"3, 0, 2, 2, 6, 0, 3, 3, 9, 0, 4, 4, 12, 1, 5, 5",0.0173391669591562,0.0427506023644848,0.461428910665474,0.999981389914231,18338,0.22,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 1, 3, 4, 12, 1, 3, 5",0.0427578337829665,0.121115825295115,0.242009346791922,0.281685545144241,4167,0.22,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 1, 3, 4, 12, 1, 4, 5",0.0427586084241356,0.121143817947228,0.281704341559693,0.461388004943645,18664,0.22,10,3,12
"3, 0, 2, 2, 6, 0, 3, 3, 9, 1, 4, 4, 12, 1, 5, 5",0.0427566026449316,0.121146452382854,0.461409863086325,0.99999481091808,56133,0.22,10,3,12
"3, 0, 1, 2, 6, 1, 2, 3, 9, 1, 3, 4, 12, 2, 3, 5",0.121173059101877,0.19798301411465,0.242004188946557,0.281664886703208,4125,0.22,10,3,12
"3, 0, 1, 2, 6, 1, 2, 3, 9, 1, 3, 4, 12, 2, 4, 5",0.12114948348721,0.197999601669969,0.281693994814016,0.461391525593983,18269,0.22,10,3,12
"3, 0, 2, 2, 6, 1, 3, 3, 9, 1, 4, 4, 12, 2, 5, 5",0.121148873117299,0.19799910383637,0.46140160519447,0.999950092157228,55472,0.22,10,3,12
