"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize","n.earlystop"
"3, 0, 1, 3, 6, 0, 2, 4, 9, 0, 3, 5, 12, 0, 4, 7",8.7836029531667e-06,0.00633396930804786,0.330024305143131,0.367817259111062,244,0.3,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 0, 4, 5, 12, 0, 5, 7",5.44362520021386e-06,0.006362587630507,0.367826894736024,0.539952989544159,1180,0.3,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 0, 4, 5, 12, 0, 6, 7",1.54724991528084e-05,0.00621163421475214,0.540098517942312,0.595555823564887,370,0.3,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 0, 5, 5, 12, 0, 6, 7",2.14059765809216e-06,0.0063590520052294,0.595562200865155,0.699950904073235,705,0.3,10,3,12
"3, 0, 2, 3, 6, 0, 4, 4, 9, 0, 5, 5, 12, 0, 7, 7",1.11130029172637e-07,0.00636145446742512,0.700051772300686,0.926472867912103,1652,0.3,10,3,12
"3, 0, 3, 3, 6, 0, 4, 4, 9, 0, 5, 5, 12, 0, 7, 7",3.71457885066047e-07,0.00632186647254517,0.926730895218321,0.999904223964262,491,0.3,10,3,12
"3, 0, 1, 3, 6, 0, 2, 4, 9, 0, 3, 5, 12, 1, 4, 7",0.0063960932295288,0.0203701178629402,0.330006640238155,0.367798362229477,601,0.3,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 0, 4, 5, 12, 1, 5, 7",0.00636457407104732,0.02039005658786,0.367836157296499,0.53997726774651,2676,0.3,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 0, 4, 5, 12, 1, 6, 7",0.00636370773179412,0.0203705210323484,0.540019824967856,0.595379737452971,842,0.3,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 0, 5, 5, 12, 1, 6, 7",0.00636538390232213,0.0203703184697559,0.595596624009428,0.699935990620713,1580,0.3,10,3,12
"3, 0, 2, 3, 6, 0, 4, 4, 9, 0, 5, 5, 12, 1, 7, 7",0.00636934288341796,0.0203890312020472,0.700141371666294,0.926609921276038,3474,0.3,10,3,12
"3, 0, 3, 3, 6, 0, 4, 4, 9, 0, 5, 5, 12, 1, 7, 7",0.00637427255842669,0.0203665249613434,0.926700083579495,0.999992050580885,1156,0.3,10,3,12
"3, 0, 1, 3, 6, 0, 2, 4, 9, 1, 3, 5, 12, 1, 4, 7",0.0203942175029058,0.0740451138682781,0.330006754651117,0.367814602350816,2264,0.3,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 1, 4, 5, 12, 1, 5, 7",0.0204016649610896,0.0740902493540738,0.367822073093479,0.539991163705981,10323,0.3,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 1, 4, 5, 12, 1, 6, 7",0.0204046823055272,0.0740906147350811,0.540059109196179,0.595551184624523,3332,0.3,10,3,12
"3, 0, 2, 3, 6, 0, 3, 4, 9, 1, 5, 5, 12, 1, 6, 7",0.0203963942824339,0.0740912145997514,0.595572479940792,0.699981076009959,6138,0.3,10,3,12
"3, 0, 2, 3, 6, 0, 4, 4, 9, 1, 5, 5, 12, 1, 7, 7",0.0203948249112865,0.0740914278492669,0.700028817018581,0.926618773449279,13275,0.3,10,3,12
"3, 0, 3, 3, 6, 0, 4, 4, 9, 1, 5, 5, 12, 1, 7, 7",0.0204106606959715,0.0740859132573101,0.926632741772504,0.999991369807463,4336,0.3,10,3,12
"3, 0, 1, 3, 6, 1, 2, 4, 9, 1, 3, 5, 12, 2, 4, 7",0.0740940744343111,0.155619537482578,0.330002643281632,0.367814022788861,3436,0.3,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 1, 4, 5, 12, 2, 5, 7",0.0740931043690407,0.155636132597588,0.367841805417861,0.539991012785179,15499,0.3,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 1, 4, 5, 12, 2, 6, 7",0.0741134467523129,0.155620559445781,0.540002055428803,0.59555192765685,4979,0.3,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 1, 5, 5, 12, 2, 6, 7",0.0740940321057142,0.155614126965884,0.595592846425907,0.699991997395401,9631,0.3,10,3,12
"3, 0, 2, 3, 6, 1, 4, 4, 9, 1, 5, 5, 12, 2, 7, 7",0.0740961613878068,0.155631792449572,0.70000676677234,0.926618276029963,20485,0.3,10,3,12
"3, 0, 3, 3, 6, 1, 4, 4, 9, 1, 5, 5, 12, 2, 7, 7",0.0740957204299977,0.155635774969838,0.926640308837191,0.99998918504143,6579,0.3,10,3,12
"3, 0, 1, 3, 6, 1, 2, 4, 9, 2, 3, 5, 12, 2, 4, 7",0.155641441623438,0.204076690001491,0.330038779523687,0.367809884853403,2069,0.3,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 2, 4, 5, 12, 2, 5, 7",0.155640178121805,0.204093202205536,0.367826669495691,0.539969295347013,9322,0.3,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 2, 4, 5, 12, 2, 6, 7",0.155642036109722,0.20408447525026,0.540022619447408,0.59552190012167,2944,0.3,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 2, 5, 5, 12, 2, 6, 7",0.155651089959113,0.204088009129308,0.595591249859845,0.69995116158389,5635,0.3,10,3,12
"3, 0, 2, 3, 6, 1, 4, 4, 9, 2, 5, 5, 12, 2, 7, 7",0.155651652035383,0.204089907140799,0.700030834239706,0.926626101420212,12059,0.3,10,3,12
"3, 0, 3, 3, 6, 1, 4, 4, 9, 2, 5, 5, 12, 2, 7, 7",0.155636576908157,0.204086331980892,0.926628448189784,0.999991406967228,3946,0.3,10,3,12
"3, 0, 1, 3, 6, 1, 2, 4, 9, 2, 3, 5, 12, 3, 4, 7",0.204101871255851,0.269971282080265,0.330000237512784,0.367784495443681,2755,0.3,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 2, 4, 5, 12, 3, 5, 7",0.204100430546874,0.269997257030742,0.36788804683437,0.539988481357651,12482,0.3,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 2, 4, 5, 12, 3, 6, 7",0.204096062319493,0.269984425877945,0.540024330426431,0.595550745063613,4018,0.3,10,3,12
"3, 0, 2, 3, 6, 1, 3, 4, 9, 2, 5, 5, 12, 3, 6, 7",0.20409438566002,0.269988981859896,0.595580523563172,0.69997829554681,7505,0.3,10,3,12
