"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize","n.earlystop"
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 2, 4, 12, 0, 3, 5",3.03837784452597e-05,0.0219066540607705,0.220013657294221,0.245554484110303,792,0.2,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 4, 12, 0, 3, 5",1.40559323632857e-05,0.0218987571477782,0.24555672952875,0.304880750828737,1835,0.2,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 4, 12, 0, 4, 5",2.20723339822143e-06,0.0219147708123467,0.304925494353597,0.487622966962019,5555,0.2,10,3,12
"3, 0, 2, 2, 6, 0, 3, 3, 9, 0, 4, 4, 12, 0, 5, 5",3.73460165690631e-08,0.021923040859542,0.487697337158125,0.999997698329677,15871,0.2,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 2, 4, 12, 1, 3, 5",0.0219336683158256,0.050993850196592,0.220001536318692,0.245498205598005,1080,0.2,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 4, 12, 1, 3, 5",0.0219326413935022,0.0509906957154768,0.24558932264829,0.304854176846244,2426,0.2,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 4, 12, 1, 4, 5",0.0219276799612311,0.0510008079643697,0.304920769941031,0.487658784133645,7530,0.2,10,3,12
"3, 0, 2, 2, 6, 0, 3, 3, 9, 0, 4, 4, 12, 1, 5, 5",0.0219250875795748,0.0510091724941929,0.48769429601777,0.999996318668587,21199,0.2,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 1, 2, 4, 12, 1, 3, 5",0.0510311893679436,0.136504637510138,0.220002073878015,0.245552075151633,3152,0.2,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 1, 3, 4, 12, 1, 3, 5",0.0510303572782053,0.136549652498613,0.245568451898267,0.30489372619949,7286,0.2,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 1, 3, 4, 12, 1, 4, 5",0.0510148864812941,0.136552557851064,0.304901730357224,0.487687715852074,22286,0.2,10,3,12
"3, 0, 2, 2, 6, 0, 3, 3, 9, 1, 4, 4, 12, 1, 5, 5",0.0510106219107911,0.136550586661254,0.487697480581784,0.999988807925491,62487,0.2,10,3,12
"3, 0, 1, 2, 6, 1, 2, 3, 9, 1, 2, 4, 12, 2, 3, 5",0.136582233405612,0.179989369464009,0.220009857871121,0.245536026975562,1621,0.2,10,3,12
"3, 0, 1, 2, 6, 1, 2, 3, 9, 1, 3, 4, 12, 2, 3, 5",0.136562027580834,0.1799972498926,0.245584499888073,0.30488316071873,3762,0.2,10,3,12
"3, 0, 1, 2, 6, 1, 2, 3, 9, 1, 3, 4, 12, 2, 4, 5",0.13655507060468,0.179998730089394,0.304920676436256,0.487672618928762,11174,0.2,10,3,12
"3, 0, 2, 2, 6, 1, 3, 3, 9, 1, 4, 4, 12, 2, 5, 5",0.136555653658886,0.179997792480861,0.487699992544718,0.999984943309818,31946,0.2,10,3,12
