"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize","n.earlystop"
"3, 0, 2, 3, 6, 0, 3, 5, 9, 0, 4, 7, 12, 0, 6, 8",1.53156890428858e-05,0.00145553416505728,0.440848358687107,0.488337451327215,82,0.4,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 0, 5, 7, 12, 0, 6, 8",8.95187034923583e-07,0.00146689136161865,0.489803609394669,0.599879215801522,160,0.4,10,3,12
"3, 0, 2, 3, 6, 0, 4, 5, 9, 0, 5, 7, 12, 0, 7, 8",1.78636938377749e-06,0.00146810804112596,0.600173678716383,0.701556208458362,148,0.4,10,3,12
"3, 0, 2, 3, 6, 0, 4, 5, 9, 0, 6, 7, 12, 0, 7, 8",3.99512138922466e-05,0.00146498019504107,0.704081522633026,0.751727817421821,69,0.4,10,3,12
"3, 0, 2, 3, 6, 0, 4, 5, 9, 0, 6, 7, 12, 0, 8, 8",1.43562407663791e-05,0.00146101909485699,0.752462602312258,0.873845391558716,189,0.4,10,3,12
"3, 0, 3, 3, 6, 0, 5, 5, 9, 0, 7, 7, 12, 0, 8, 8",1.91058915772475e-05,0.00146472622343847,0.874593314800788,0.99936893374001,171,0.4,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 0, 4, 7, 12, 1, 6, 8",0.0014799109685601,0.00710435108555462,0.440285342293658,0.489344349629621,284,0.4,10,3,12
"3, 0, 2, 3, 6, 0, 4, 5, 9, 0, 5, 7, 12, 1, 7, 8",0.00147549445175088,0.00710102253950508,0.600003595400748,0.703657383874604,593,0.4,10,3,12
"3, 0, 2, 3, 6, 0, 4, 5, 9, 0, 6, 7, 12, 1, 8, 8",0.0014810243644197,0.00709079997295272,0.752195211682843,0.874407078303148,693,0.4,10,3,12
"3, 0, 3, 3, 6, 0, 5, 5, 9, 0, 7, 7, 12, 1, 8, 8",0.00147663532161957,0.00711261824771818,0.874557947086854,0.999776217471853,717,0.4,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 0, 5, 7, 12, 1, 6, 8",0.00150339305068916,0.00711307301241767,0.489524923873216,0.599974175344614,609,0.4,10,3,12
"3, 0, 2, 3, 6, 0, 4, 5, 9, 0, 6, 7, 12, 1, 7, 8",0.00151926697434371,0.00706284596033511,0.7046839353618,0.752075518823994,271,0.4,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 1, 4, 7, 12, 1, 6, 8",0.0071195267037173,0.037688522770127,0.440069749442337,0.489413997366037,1527,0.4,10,3,12
"3, 0, 2, 3, 6, 0, 3, 5, 9, 1, 5, 7, 12, 1, 6, 8",0.00712590253646916,0.0376651844841675,0.489534677473216,0.599991999738134,3334,0.4,10,3,12
