"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize","n.earlystop"
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 4, 12, 0, 3, 5",3.11602131161839e-05,0.0194857496901618,0.234801991203046,0.293070005025803,1567,0.21,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 2, 4, 12, 0, 3, 5",0.000302259240255761,0.0192688114431161,0.231020231598239,0.234758936340495,110,0.21,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 4, 12, 0, 4, 5",5.92698060860857e-07,0.0195083975817465,0.293142159328598,0.474373739691348,4907,0.21,10,3,12
"3, 0, 2, 2, 6, 0, 3, 3, 9, 0, 4, 4, 12, 0, 5, 5",2.14348212259356e-06,0.0195083258536443,0.474474856034057,0.999977216376547,14110,0.21,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 4, 12, 1, 3, 5",0.0195156575218119,0.0467067040815836,0.234832442574252,0.29306333825877,2172,0.21,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 2, 4, 12, 1, 3, 5",0.0197635057403738,0.0463226666394141,0.231061887442166,0.234750875888987,139,0.21,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 4, 12, 1, 4, 5",0.0195111820207145,0.0467086153641442,0.29307703561861,0.474309971958916,6821,0.21,10,3,12
"3, 0, 2, 2, 6, 0, 3, 3, 9, 0, 4, 4, 12, 1, 5, 5",0.0195094411351794,0.046714309460669,0.474393894498841,0.999992130290316,19897,0.21,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 1, 3, 4, 12, 1, 3, 5",0.0467179463248138,0.128614920881517,0.234790099360801,0.293069810237383,6565,0.21,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 1, 2, 4, 12, 1, 3, 5",0.0468909648730179,0.128142184282326,0.231002849812673,0.234769187839841,415,0.21,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 1, 3, 4, 12, 1, 4, 5",0.0467193170307565,0.128624081347372,0.293072741812302,0.474366829208869,20326,0.21,10,3,12
"3, 0, 2, 2, 6, 0, 3, 3, 9, 1, 4, 4, 12, 1, 5, 5",0.0467151623258955,0.128629320628078,0.474375694565124,0.999991443840473,59009,0.21,10,3,12
"3, 0, 1, 2, 6, 1, 2, 3, 9, 1, 3, 4, 12, 2, 3, 5",0.128629769185412,0.188995392185679,0.234782022538972,0.29306535419936,4867,0.21,10,3,12
"3, 0, 1, 2, 6, 1, 2, 3, 9, 1, 2, 4, 12, 2, 3, 5",0.128691843966119,0.18896519988634,0.231011148277605,0.234762667486012,329,0.21,10,3,12
"3, 0, 1, 2, 6, 1, 2, 3, 9, 1, 3, 4, 12, 2, 4, 5",0.128645579926911,0.188993824092995,0.293076477372288,0.474375155816037,15031,0.21,10,3,12
"3, 0, 2, 2, 6, 1, 3, 3, 9, 1, 4, 4, 12, 2, 5, 5",0.128630893512413,0.18899977796553,0.474391314425971,0.99998341594567,43737,0.21,10,3,12
