"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize","n.earlystop"
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3, 15, 0, 2, 4, 18, 0, 2, 4, 21, 0, 3, 5",4.09034137430135e-06,0.0171057916551621,0.110009755920604,0.12288317423698,564,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 0, 2, 4, 18, 0, 3, 4, 21, 0, 3, 5",9.62539544776082e-06,0.0171973353107305,0.122921927961988,0.172168049462335,2144,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 0, 3, 4, 18, 0, 3, 4, 21, 0, 3, 5",1.37474017579341e-05,0.0171931991716144,0.172179443191598,0.194338353764442,948,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 0, 3, 4, 18, 0, 3, 4, 21, 0, 4, 5",7.02796266765799e-06,0.0171997689473166,0.194363991907919,0.251676570930027,2457,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 0, 3, 4, 18, 0, 4, 4, 21, 0, 4, 5",7.51082965666428e-06,0.0171986726653272,0.251777729803141,0.310734850408085,2548,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 0, 3, 4, 18, 0, 4, 4, 21, 0, 5, 5",1.31120774159208e-06,0.0171930946074769,0.310761130186179,0.334513315694093,975,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 0, 4, 4, 18, 0, 4, 4, 21, 0, 5, 5",1.10361614730209e-06,0.017201136174055,0.334515999160095,0.389898946939873,2313,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3, 15, 0, 4, 4, 18, 0, 4, 4, 21, 0, 5, 5",3.44682140182704e-07,0.0171990788612619,0.389919980485355,0.645858775173033,10878,0.1,10,3,21
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3, 15, 0, 4, 4, 18, 0, 4, 4, 21, 0, 5, 5",1.86729989480227e-08,0.0171991201420938,0.645869746663971,0.99999741062085,15189,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3, 15, 0, 2, 4, 18, 0, 2, 4, 21, 1, 3, 5",0.0172364131245053,0.0261547429641061,0.110085746455861,0.122899920649014,293,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 0, 2, 4, 18, 0, 3, 4, 21, 1, 3, 5",0.0172018480530361,0.0261606756925213,0.122964666024225,0.172165881064225,1070,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 0, 3, 4, 18, 0, 3, 4, 21, 1, 3, 5",0.017239201361807,0.0261719983750979,0.172268156616265,0.194299044947958,479,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 0, 3, 4, 18, 0, 3, 4, 21, 1, 4, 5",0.0172163875438517,0.0261787689204633,0.194390317996023,0.251730069887908,1306,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 0, 3, 4, 18, 0, 4, 4, 21, 1, 4, 5",0.0172023828644898,0.0261721857104464,0.251749658393443,0.310647152031779,1278,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 0, 3, 4, 18, 0, 4, 4, 21, 1, 5, 5",0.0172107614763706,0.0261765938886145,0.310854075214193,0.334507649318631,486,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 0, 4, 4, 18, 0, 4, 4, 21, 1, 5, 5",0.0172110591034848,0.0261813029535226,0.334535717794663,0.389896787342761,1256,0.1,10,3,21
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3, 15, 0, 4, 4, 18, 0, 4, 4, 21, 1, 5, 5",0.0172019780655375,0.0261812714282849,0.390003888565469,0.645779739283144,5749,0.1,10,3,21
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3, 15, 0, 4, 4, 18, 0, 4, 4, 21, 1, 5, 5",0.0172060941113892,0.0261786249847034,0.645894768528086,0.999956706217644,7939,0.1,10,3,21
