"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize","n.earlystop"
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3, 15, 0, 2, 4",1.7095479782531e-05,0.0412678413222995,0.110014687412787,0.122910758239063,1365,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 0, 2, 4",2.81058902121149e-06,0.0412672151016266,0.122921919160991,0.172166341440206,5089,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 0, 3, 4",3.80440234676935e-06,0.041271093520761,0.172196113537868,0.251739908145662,8094,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 0, 3, 4",6.98437681475189e-06,0.0412720044231772,0.251756803546008,0.334501477095369,8432,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 0, 4, 4",5.234842541744e-06,0.041264616271864,0.334514270811853,0.3898930500621,5777,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3, 15, 0, 4, 4",4.00670869073365e-06,0.0412714988552232,0.389906439941381,0.645860469784119,26203,0.1,10,3,15
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3, 15, 0, 4, 4",2.04141047601588e-06,0.0412722976265136,0.645864669955331,0.999994473602305,36660,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3, 15, 1, 2, 4",0.041344496148304,0.0684683807264664,0.110007274667993,0.122902537897988,893,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 1, 2, 4",0.0412765426371298,0.0684701942425363,0.122926647182497,0.172161675444776,3356,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 1, 3, 4",0.041291934892608,0.068460917068251,0.172187049558333,0.25172523311122,5421,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 1, 3, 4",0.0412745041370339,0.0684661473938827,0.251765269895913,0.3345084321883,5629,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 1, 4, 4",0.0412804115567834,0.0684679738320405,0.334534689335258,0.389905430969899,3679,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3, 15, 1, 4, 4",0.0412733533727284,0.0684707523835971,0.38990766956644,0.645859528496497,17308,0.1,10,3,15
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3, 15, 1, 4, 4",0.0412734154453159,0.0684713686624115,0.645889810423363,0.999996707169705,24167,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 1, 2, 3, 15, 1, 2, 4",0.0684736521000996,0.0899914462792908,0.110009729517612,0.122905097730932,713,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 1, 2, 3, 15, 1, 2, 4",0.0684752237053727,0.0899982082564971,0.122914905185196,0.172155688252006,2692,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 1, 2, 3, 15, 1, 3, 4",0.0684794239892669,0.0899970025442147,0.172182294295645,0.251735005571042,4263,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 1, 3, 3, 15, 1, 3, 4",0.0684732246001823,0.0899965717148225,0.251756713021464,0.334486322406571,4410,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 1, 3, 3, 15, 1, 4, 4",0.0684737296093434,0.0899972663410701,0.334577900346329,0.389903234701964,2941,0.1,10,3,15
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3, 15, 1, 4, 4",0.068476677614873,0.0899966964187905,0.389919199082519,0.64585248811771,13678,0.1,10,3,15
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3, 15, 1, 4, 4",0.068476181150588,0.089997850000344,0.645865478180255,0.999963714326107,19232,0.1,10,3,15
