"target","my.p.saf","my.p.tox","test.cutoff","test.offset","boundary.rslt","ncohort","cohortsize","n.earlystop"
0.21007371856831,0.135695246540928,0.847948067702745,0.813697223551571,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.208205293864012,0.176695998904967,0.55469267275966,0.822216825326905,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.189664030447602,0.165493425133411,0.764638392918717,0.864072513766587,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.201314658042975,0.172775948585878,0.598662803367062,0.824694118229672,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.200470643118024,0.153349851730522,0.698976765663134,0.8376461698208,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.258353915414773,0.189420208469849,0.620345387266589,0.734240485588089,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.218908463139087,0.131054450338607,0.926653173349843,0.789959971792996,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.25015306530986,0.140561983475182,0.792043067734126,0.755448748357594,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.238727973541245,0.196774887489045,0.572154415637451,0.772902942495421,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.24240793637,0.202748434914176,0.792434910193496,0.763545036315918,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.268988785450347,0.153880084660952,0.726928328603649,0.70762729155831,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.196670997189358,0.160633706174062,0.654414267926543,0.83475924609229,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.228129453025758,0.174932336437718,0.988288452620826,0.779713679570705,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.244370427564718,0.192351660260955,0.822497856776582,0.761803205357864,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.213474405463785,0.158080429758203,0.934602577872159,0.81783389300108,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.188991483999416,0.15282573158912,0.961316135758908,0.839188650017604,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.269479814684018,0.101206893208773,0.742590723563866,0.708987307269126,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.282154824235477,0.0926641449998104,0.41336777269293,0.68413478625007,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.230799554148689,0.12276969398554,0.561319359573433,0.774451459059492,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.256908633396961,0.229158908115295,0.50928205814307,0.73014968005009,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.223296909825876,0.12534556245457,0.892020958267642,0.786583945620805,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.197863613953814,0.163608758615069,0.790409081965226,0.832376416074112,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.241304144961759,0.152576391201263,0.805437310066116,0.754543945658952,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
0.192344080423936,0.160588007642718,0.686427396125933,0.84950143052265,0.01,"3, 0, 2, 2, 6, 1, 2, 2",10,3,6
